Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
        67             25        28.8187                 0                  0                    0
        68             25        28.8176                 0                  0                    0
        69             25        28.8188                 0                  0                    0
        70             25        28.8182                 0                  0                    0
        71             25        28.8161                 0                  0                    0
        72             25        28.8188                 0                  0                    0
        73             25        28.8189                 0                  0                    0
        74             25        28.8189                 0                  0                    0
        75             25        28.8189                 0                  0                    0
        76             25        28.8186                 0                  0                    0
        77             25        28.8187                 0                  0                    0
        78             25        28.8176                 0                  0                    0
        79             25        28.8188                 0                  0                    0
        80             25        28.8182                 0                  0                    0
        81             25        28.8161                 0                  0                    0
        82             25        28.8188                 0                  0                    0
        83             25        28.8189                 0                  0                    0
        84             25        28.8189                 0                  0                    0
        85             25        28.8189                 0                  0                    0
        86             25        28.8186                 0                  0                    0
        87             25        28.8187                 0                  0                    0
        88             25        28.8176                 0                  0                    0
        89             25        28.8188                 0                  0                    0
        90             25        28.8182                 0                  0                    0
        91             25        28.8161                 0                  0                    0
        92             25        28.8188                 0                  0                    0
        93             25        28.8189                 0                  0                    0
        94             25        28.8189                 0                  0                    0
        95             25        28.8189                 0                  0                    0
        96             25        28.8186                 0                  0                    0
        97             25        28.8187                 0                  0                    0
        98             25        28.8176                 0                  0                    0
        99             25        28.8188                 0                  0                    0
       100             25        28.8182                 0                  0                    0
       101             25        28.8161                 0                  0                    0
       102             25        28.8188                 0                  0                    0
       103             25        28.8189                 0                  0                    0
       104             25        28.8189                 0                  0                    0
       105             25        28.8189                 0                  0                    0
       106             25        28.8186                 0                  0                    0
       107             25        28.8187                 0                  0                    0
       108             25        28.8176                 0                  0                    0
       109             25        28.8188                 0                  0                    0
       110             25        28.8182                 0                  0                    0
       111             25        28.8161                 0                  0                    0
       112             25        28.8188                 0                  0                    0
       113             25        28.8189                 0                  0                    0
       114             25        28.8189                 0                  0                    0
       115             25        28.8189                 0                  0                    0
       116             25        28.8186                 0                  0                    0
       117             25        28.8187                 0                  0                    0
       118             25        28.8176                 0                  0                    0
       119             25        28.8188                 0                  0                    0
       120             25        28.8182                 0                  0                    0
       121             25        28.8161                 0                  0                    0
       122             25        28.8188                 0                  0                    0
       123             25        28.8189                 0                  0                    0
       124             25        28.8189                 0                  0                    0
       125             25        28.8189                 0                  0                    0
       126             25        28.8186                 0                  0                    0
       127             25        28.8187                 0                  0                    0
       128             25        28.8176                 0                  0                    0
       129             25        28.8188                 0                  0                    0
       130             25        28.8182                 0                  0                    0
       131             25        28.8161                 0                  0                    0
